# Cluster: Cluster 1
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 9
ID=2451 40.759651 -73.959285
ID=17794 40.759691 -73.959574
ID=19675 40.759366 -73.959338
ID=14038 40.75974 -73.959703
ID=21734 40.75974 -73.959703
ID=11644 40.7595 -73.959834
ID=8512 40.759363 -73.960261
ID=11668 40.759216 -73.959481
ID=19785 40.759057 -73.959274
